Mes;Beneficio;LecheEntera;LecheDeslactosada;Mantequilla;LecheBajaengrasa;Queso;Yogurt
January04; 11.64 ; 10.97 ; 11.61 ; 1.43 ; 0.84 ; 7.00 ; 6.82 
February04; 12.25 ; 12.21 ; 11.89 ; 1.71 ; 0.84 ; 6.00 ; 7.13 
March04; 14.31 ; 14.10 ; 14.49 ; 2.14 ; 0.85 ; 5.00 ; 8.16 
April04; 17.04 ; 14.57 ; 19.66 ; 2.22 ; 0.88 ; 7.00 ; 9.52 
May04; 17.29 ; 14.50 ; 20.58 ; 2.04 ; 0.91 ; 8.00 ; 9.65 
June04; 16.14 ; 13.72 ; 17.68 ; 1.93 ; 0.92 ; 8.00 ; 9.07 
July04; 13.68 ; 13.31 ; 14.85 ; 1.75 ; 0.92 ; 8.00 ; 7.84 
August04; 13.44 ; 12.46 ; 14.04 ; 1.54 ; 0.88 ; 7.00 ; 7.72 
September04; 14.03 ; 13.00 ; 14.72 ; 1.77 ; 0.87 ; 9.00 ; 8.02 
October04; 13.67 ; 12.81 ; 14.16 ; 1.65 ; 0.87 ; 8.00 ; 7.84 
November04; 14.84 ; 13.34 ; 14.89 ; 1.92 ; 0.89 ; 4.00 ; 8.42 
December04; 14.82 ; 13.42 ; 16.14 ; 1.71 ; 0.89 ; 9.00 ; 8.41 
January05; 14.43 ; 12.52 ; 14.14 ; 1.58 ; 0.92 ; 8.00 ; 8.22 
February05; 13.87 ; 12.74 ; 14.70 ; 1.61 ; 0.95 ; 5.00 ; 7.94 
March05; 13.82 ; 12.66 ; 14.08 ; 1.55 ; 0.96 ; 4.00 ; 7.91 
April05; 13.87 ; 12.61 ; 14.61 ; 1.49 ; 0.97 ; 7.00 ; 7.94 
May05; 13.07 ; 12.20 ; 13.77 ; 1.40 ; 0.98 ; 9.00 ; 7.54 
June05; 13.01 ; 12.33 ; 13.92 ; 1.53 ; 0.98 ; 4.00 ; 7.51 
July05; 13.42 ; 13.17 ; 14.35 ; 1.62 ; 0.98 ; 9.00 ; 7.71 
August05; 12.75 ; 13.44 ; 13.60 ; 1.69 ; 1.00 ; 8.00 ; 7.38 
September05; 13.49 ; 13.75 ; 14.30 ; 1.70 ; 1.02 ; 7.00 ; 7.75 
October05; 13.55 ; 13.61 ; 14.35 ; 1.62 ; 1.03 ; 5.00 ; 7.78 
November05; 12.91 ; 12.90 ; 13.35 ; 1.43 ; 1.06 ; 5.00 ; 7.46 
December05; 13.13 ; 12.57 ; 13.37 ; 1.36 ; 1.06 ; 7.00 ; 7.57 
January06; 12.93 ; 12.20 ; 13.39 ; 1.34 ; 1.01 ; 4.00 ; 7.47 
February06; 11.62 ; 11.10 ; 12.20 ; 1.19 ; 0.93 ; 8.00 ; 6.81 
March06; 10.99 ; 10.68 ; 11.11 ; 1.17 ; 0.88 ; 6.00 ; 6.50 
April06; 10.51 ; 10.36 ; 10.93 ; 1.16 ; 0.86 ; 9.00 ; 6.26 
May06; 10.20 ; 10.33 ; 10.83 ; 1.18 ; 0.85 ; 5.00 ; 6.10 
June06; 10.23 ; 10.22 ; 11.29 ; 1.16 ; 0.85 ; 6.00 ; 6.12 
July06; 10.00 ; 10.21 ; 10.92 ; 1.16 ; 0.87 ; 5.00 ; 6.00 
August06; 10.49 ; 10.64 ; 11.06 ; 1.30 ; 0.95 ; 6.00 ; 6.25 
September06; 11.30 ; 11.10 ; 12.29 ; 1.32 ; 1.03 ; 8.00 ; 6.65 
October06; 11.54 ; 11.51 ; 12.32 ; 1.32 ; 1.23 ; 8.00 ; 6.77 
November06; 11.82 ; 12.11 ; 12.84 ; 1.29 ; 1.52 ; 6.00 ; 6.91 
December06; 12.13 ; 12.30 ; 13.47 ; 1.24 ; 1.33 ; 9.00 ; 7.07 
January07; 12.30 ; 12.53 ; 13.56 ; 1.22 ; 1.29 ; 9.00 ; 7.15 
February07; 13.00 ; 12.71 ; 14.18 ; 1.22 ; 1.30 ; 5.00 ; 7.50 
March07; 13.79 ; 13.71 ; 15.09 ; 1.32 ; 1.43 ; 8.00 ; 7.90 
April07; 14.55 ; 16.12 ; 16.09 ; 1.37 ; 1.64 ; 6.00 ; 8.28 
May07; 16.34 ; 18.48 ; 17.60 ; 1.48 ; 1.95 ; 9.00 ; 9.17 
